_id,name_en,name_kn
253,Nectro Plus Honey 250 gm,ನೆಕ್ಟ್ರೋ ಪ್ಲಸ್ ಹನಿ 250 gm
254,CORRIANDER LEAVES NATI,ಕೊತಂಬರಿ ನಾಟಿ
255,TOMRIND SEEDLEES,ಹುಣಸೆ ಹಣ್ಣು (ಬೀ.ರ)
256,THINDA,ತಿಂಡ
257,DATES AREBIAN,ಡೇಟ್ಸ್ ಅರೇಬಿಯನ್
258,PISTA 100 gram,ಪಿಸ್ತಾ 100 ಗ್ರಾಂ
259,TENDER COCONUT SMALL,ಎಳನೀರು (ಸಣ್ಣ)
260,TENDER COCONUT PACKED,ಎಳೆಯ ತೆಂಗಿನಕಾಯಿ ಪ್ಯಾಕ್
261,FRUITJUICE THAILAND,ಫ್ರೂಟ್ ಜ್ಯೂಸು ಥೈಲ್ಯಾಂಡ್
262,GROUND NUT OIL NET RICE500M,ಕಡ್ಲೆ ಬೀಜದ ಎಣ್ಣೆ ನಿವ್ವಳ ಅಕ್ಕಿ 500 ಮಿಲಿ
263,GROUND NUT OIL 1LTR,ಕಡಲೆಕಾಯಿ ಹೆಣ್ಣೆ ೧ ಲಿಟೆರ್ಸ್
264,GROUND NUT PREMIUM 1LTR,ಕಡಲೆಕಾಯಿ ಪ್ರೀಮಿಯಂ ೧ ಲಿಟೆರ್ಸ್
265,GROUND NUT RICE BRON 1LTR,ಕಡಲೇಕಾಯಿ ಅಕ್ಕಿ ಬ್ರೊನ್ ೧ ಲಿಟೆರ್ಸ್
266,GROUND NUT OIL RICE 1LTR,ಕಡಲೆಕಾಯಿ ಹೆಣ್ಣೆ ಅಕ್ಕಿ ೧ ಲಿಟೆರ್ಸ್
267,SAFAL DEEP 1L OIL,ಸಫಾಲ್ ಡೀಪ್ ೧ ಲಿಟೆರ್ಸ್
268,GROUND NET GOLDEN G NUT1L,ಕಡಲೆಕಾಯಿ ಹೆಣ್ಣೆ ಸುವರ್ಣ ೧ ಲಿಟೆರ್ಸ್
269,GROUND NUT SUN GOLD 1LTR,ಕಡಲೆಕಾಯಿ ಸನ್ ಗೋಲ್ಡ್ ೧ ಲಿಟೆರ್ಸ್
270,RICE BRON 15LTS,ಅಕ್ಕಿ ಬ್ರೊನ್ 15 ಲಿಟೆರ್ಸ್
271,NISARGA PICKLES 500GMS,ನಿಸರ್ಗ ಉಪ್ಪಿನಕಾಯಿ 500 ಗ್ರಾಮ್
272,LIME PICKLE,ನಿಂಬೆ ಹಣ್ಣಿನ ಉಪ್ಪಿನಕಾಯಿ
273,Nisarga Pickles 300 gm,ನಿಸರ್ಗ ಉಪ್ಪಿನಕಾಯಿ 300 ಗ್ರಾಮ್
274,MIXED VEGETABLES PICKLE,ತರಕಾರಿಯ ಮಿಶ್ರಣ ಉಪ್ಪಿನಕಾಯಿ
275,TAMRIND PASTE 150GM,ಹುಣಸೆಹಣ್ಣು ಪೇಸ್ಟ್ 150 ಗ್ರಾಮ್
276,RICE BRON OIL 5LTR,ಅಕ್ಕಿ ಬ್ರೊನ್ ಹೆಣ 5 ಲಿಟೆರ್ಸ್
277,SUN SAFAL 500ML,ಸನ್ ಸಫಾಲ್ 500 ಮಿಲಿ
278,GROUND NUT OIL 5LTR,ಕಡಲೆಕಾಯಿ ಹೆಣ್ಣೆ 5 ಲಿಟೆರ್ಸ್
279,SAFAL DEEP 500ML,ಸಫಾಲ್ ಡೀಪ್ 500 ಮಿಲಿ
280,TAMRIND PEAST 400GM,ಹುಣಸೆ ಹಣ್ಣು ಪೇಸ್ಟ್ 454ಗ್ರಾಂ
281,SUN SAFAL 1 TIN 15LTS,ಸನ್ ಸಫಾಲ್ 1 ಟಿನ್ 15 ಲಿಟೆರ್ಸ್
282,SUN GOLD 5LTS,ಸನ್ ಗೋಲ್ಡ್ 5 ಲಿಟೆರ್ಸ್
283,Tharaguni kai,ತರಗುಣಿ ಕಾಯಿ
284,APPLE NEWZEALAND,ಸೇಬು ನ್ಯೂಜಿಲ್ಯಾಂಡ್
285,COCONUT OIL 500ML,ಕೊಬ್ಬರಿ ಹೆಣ್ಣೆ 500 ಮಿಲಿ
286,SWAGATH JAM 1KG,ಸ್ವಾಗತ್ ಜಾಮ್ 1 ಕೆಜಿ
287,JAM 500GM,ಜಾಮ್ 500 ಗ್ರಾಮ್
288,PEPAR 200GM,ಪೇಪರ್ 200 ಗ್ರಾಮ್
289,PEPAR 100GM,ಪೇಪರ್ 100 ಗ್ರಾಮ್
290,PROCEED FAND 290,ಪ್ರೋಸಿಡ್ ಫಂಡ್ 290
291,CHOCOLATES DRINK -1,ಚಾಕಲೇಟ್ಸ ಡ್ರಿಂಕ್ಸ್ -1
292,CARRY BAG,ಕ್ಯಾರಿ ಬ್ಯಾಗ್
293,COPRA,ಒಣಕೊಬ್ಬರಿ
298,Gulkan 1 KG,ಗುಲ್ಕನ್
299,CARREY BAG BIG,ಚೆರಿ ಬ್ಯಾಗ್ ದೊಡ್ಡದು
300,Gulkan 500 GMS,ಗುಲ್ಕನ್ 500 ಗ್ರಾಮ್ಸ್
301,BRAZIL RED LETIES,ಬ್ರೇಜಿಲ್ ರೆಡ್ ಲೆಟಿಸ್
302,CUCUMBER WHITE,ಸೌತೆಕಾಯಿ ಬಿಳಿ
303,BANANA LEAVES,ಬಾಳೆಎಲೆಗಳು
304,SWEET CORN SEED BOIL,ಸಿಹಿಯಾದ ಬಿಸಿ ಜೋಳದ ಬೀಜ
305,BALE HOOVU,ಬಾಳೆ ಹೂವು
306,LETTEUS,ಐಸ್‍ಬರ್ಗ್‍ಲೆಟ್ಯೂಸ್
307,ONION FLOWER,ಇರುಳ್ಳಿ ಹೂವು
308,BERRY CHINA,ಬೆರಿ ಚೀನಾ
309,SUGAR BANANA,ಸಕ್ಕರೆ ಬಾಳೆಹಣ್ಣು
310,CORN MIZE PACK,ಜೋಳದ ಪ್ಯಾಕ್
311,BYALADHA HANNU,ಬ್ಯಾಲದ ಹಣ್ಣು
312,Apple premium,ಆಪಲ್ ಪ್ರೀಮಿಯಂ
313,Onion white,ಈರುಳ್ಳಿ ಬಿಳಿದು
